input_length,output_length,latency,timestamp,architecture,scale
723,60,0.0022,613066378.0,Dense,30-100B
611,1706,0.0021,614025858.0,Dense,30-100B
723,82,0.0022,616039498.0,Dense,30-100B
3643,109,0.0014,617005769.0,Dense,30-100B
3725,737,0.0012,617024831.0,Dense,30-100B
3738,663,0.0013,618132679.0,Dense,30-100B
2725,16,0.0013,622040795.0,Dense,30-100B
2020,35,0.0022,622100232.0,Dense,30-100B
1148,1431,0.0013,624167960.0,Dense,30-100B
1339,1181,0.0027,628046975.0,Dense,30-100B
409,99,0.0006,629095204.0,Dense,30-100B
1120,219,0.0076,629229487.0,Dense,30-100B
555,62,0.0012,630056119.0,Dense,30-100B
451,1334,0.0007,632127119.0,Dense,30-100B
558,2491,0.0022,636143409.0,Dense,30-100B
2334,128,0.0015,637012885.0,Dense,30-100B
286,20,0.0013,637115499.0,Dense,30-100B
1030,40,0.0014,640143739.0,Dense,30-100B
2256,382,0.0013,642017328.0,Dense,30-100B
109,430,0.0011,644124843.0,Dense,30-100B
3224,243,0.0017,644138139.0,Dense,30-100B
589,168,0.0022,645059593.0,Dense,30-100B
588,325,0.0022,645216607.0,Dense,30-100B
224,3,0.0021,648131944.0,Dense,30-100B
928,19,0.0013,648139761.0,Dense,30-100B
1023,480,0.0008,649061157.0,Dense,30-100B
232,545,0.0012,651051434.0,Dense,30-100B
1522,21,0.0012,653055316.0,Dense,30-100B
6058,777,0.0013,653058220.0,Dense,30-100B
47,530,0.0021,654045410.0,Dense,30-100B
3643,191,0.0015,655078921.0,Dense,30-100B
4793,71,0.0022,655148639.0,Dense,30-100B
733,605,0.0007,659037942.0,Dense,30-100B
1346,52,0.0014,660117655.0,Dense,30-100B
426,862,0.0014,661029635.0,Dense,30-100B
820,480,0.0013,662108637.0,Dense,30-100B
3344,123,0.0016,665156647.0,Dense,30-100B
920,36,0.0015,667077286.0,Dense,30-100B
349,137,0.0007,669084967.0,Dense,30-100B
3715,582,0.001,672073047.0,Dense,30-100B
470,38,0.0015,675143720.0,Dense,30-100B
2050,217,0.0008,677050388.0,Dense,30-100B
130,686,0.0021,677079792.0,Dense,30-100B
84,1,0.0011,677090770.0,Dense,30-100B
94,1,0.0008,680009644.0,Dense,30-100B
1361,584,0.0013,680089424.0,Dense,30-100B
2231,11,0.0007,683011217.0,Dense,30-100B
197,1,0.0013,684144094.0,Dense,30-100B
371,51,0.0012,685085397.0,Dense,30-100B
2935,346,0.0022,686033565.0,Dense,30-100B
800,70,0.0013,686054904.0,Dense,30-100B
3408,98,0.0014,686080648.0,Dense,30-100B
224,6,0.0021,690016043.0,Dense,30-100B
4199,159,0.0016,690117081.0,Dense,30-100B
238,636,0.0007,692046821.0,Dense,30-100B
282,18,0.0013,692139615.0,Dense,30-100B
227,24,0.0025,692156356.0,Dense,30-100B
3228,64,0.0013,693048097.0,Dense,30-100B
1864,234,0.0022,696053336.0,Dense,30-100B
5573,1556,0.0012,700155613.0,Dense,30-100B
635,106,0.0007,703051559.0,Dense,30-100B
224,5,0.0008,706096648.0,Dense,30-100B
5033,724,0.003,706098477.0,Dense,30-100B
389,60,0.0013,710188227.0,Dense,30-100B
5506,190,0.0008,714005182.0,Dense,30-100B
264,17,0.0021,714022694.0,Dense,30-100B
3630,209,0.0016,715082593.0,Dense,30-100B
1132,172,0.0014,716021601.0,Dense,30-100B
1339,964,0.0014,719020088.0,Dense,30-100B
1758,275,0.0031,719062753.0,Dense,30-100B
867,100,0.0013,720009477.0,Dense,30-100B
235,674,0.0021,720107950.0,Dense,30-100B
4479,426,0.0013,723027623.0,Dense,30-100B
186,61,0.0006,723122266.0,Dense,30-100B
