input_length,output_length,latency,timestamp,architecture,scale
12060,170,0.004175475,974028076,Dense,30-100B
6911,352,0.004216877,976799825,Dense,30-100B
222,3,0.007621256,976806515,Dense,30-100B
2396,157,0.001201302,977965991,Dense,30-100B
3165,414,0.001837651,981921118,Dense,30-100B
1160,141,0.00165157,984844130,Dense,30-100B
1673,265,0.002074204,984904351,Dense,30-100B
57,68,0.001644501,984928804,Dense,30-100B
2031,473,0.001209402,986804681,Dense,30-100B
651,948,0.023372356,986932739,Dense,30-100B
244,4,0.005435281,986934669,Dense,30-100B
2481,522,0.003420647,991844043,Dense,30-100B
2063,437,0.017695219,996807850,Dense,30-100B
179,495,0.001220792,996917435,Dense,30-100B
165,31,0.000731894,1003913207,Dense,30-100B
1246,148,0.000769891,1005926741,Dense,30-100B
311,1910,0.001435622,1009868059,Dense,30-100B
197,629,0.001565479,1009943319,Dense,30-100B
1636,16,0.001330933,1010954306,Dense,30-100B
58,3,0.000683025,1013886983,Dense,30-100B
1965,85,0.001350343,1014945600,Dense,30-100B
228,5,0.002186043,1018839989,Dense,30-100B
6620,729,0.001343652,1020831319,Dense,30-100B
229,4,0.001224172,1022930969,Dense,30-100B
5005,139,0.001216513,1024995616,Dense,30-100B
887,110,0.00157873,1027885416,Dense,30-100B
1288,304,0.001853141,1027991012,Dense,30-100B
6119,165,0.002476595,1031915002,Dense,30-100B
3279,105,0.000802476,1032786355,Dense,30-100B
12051,171,0.001663581,1033913631,Dense,30-100B
1254,89,0.001295823,1034926578,Dense,30-100B
414,57,0.002245994,1040040823,Dense,30-100B
230,7,0.001257802,1041959113,Dense,30-100B
172,42,0.001229762,1042022183,Dense,30-100B
2006,654,0.00159293,1044802879,Dense,30-100B
58,747,0.001282292,1047935700,Dense,30-100B
466,7,0.002155624,1052015394,Dense,30-100B
677,42,0.023867886,1055020954,Dense,30-100B
838,49,0.000708313,1055808490,Dense,30-100B
2664,307,0.003602592,1055997306,Dense,30-100B
2375,630,0.002242094,1057902103,Dense,30-100B
816,142,0.002213254,1058939488,Dense,30-100B
1789,146,0.001805451,1060852880,Dense,30-100B
